example,sample,context,filtered,numeral,noun,standard,expression,tung/rus,num_type,num_semantics,num_composite,noun_semantics,wo,mass_noun,comment,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection,all
Бабушка {{три}} ночи\ рассказывала,large_sample,три ночи,,три,ночи,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,standard,Kurun camp,F,secondary?,Nanai,ibx,1931,SkazkaSonnyjMalchik (ibx) [2011],online-corpus_202104,[pob: Kurun camp; gender: F; edu: ?; lng: Nanai; speaker: ibx; yob: 1931] Бабушка {{три}} ночи\ рассказывала
{{Семь\}} там сестер,large_sample,семь сестер,,семь,сестер,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,DevushkaICherep (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] {{Семь\}} там сестер
Старик... положил их... на {{семь}} сопок== ой нааа эээ саночки и повез в лес,large_sample,семь сопок,,семь,сопок,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,StarikIStaruxa (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Старик... положил их... на {{семь}} сопок== ой нааа эээ саночки и повез в лес
"Ага, {{восемь}} часов лёту без посадочного рейса",large_sample,восемь часов,,восемь,часов,standard,gen_pl,rus,main,b_five-ten,,time,num_noun,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioDetiVnuki&DorogaDoDudi (lnd) [2020],online-corpus_202104,"[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] \n [lnd] Ага, {{восемь}} часов лёту без посадочного рейса"
"Нууу у него стоит такая морозиловка, ему бы лет на {{пять}} хватило этого мяса",large_sample,лет пять,,пять,лет,standard,gen_pl,rus,main,b_five-ten,,time,noun_num,other,,standard,Kojma,F,secondary,Ulcha,lnd,1940,BioVsjeDelilisj (lnd) [2020],online-corpus_202104,"[pob: Kojma; gender: F; edu: secondary; lng: Ulcha; speaker: lnd; yob: 1940] \n [lnd] Нууу у него стоит такая морозиловка, ему бы лет на {{пять}} хватило этого мяса"
Я вот часто хожу вот в сторону туда вот {{семь}} сопок,large_sample,семь сопок,,семь,сопок,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,standard,Mys Lazareva,F,higher?,Ulcha,lnl,1954,BioProMamuINavodnenije (nao) [2020],online-corpus_202104,[pob: Mys Lazareva; gender: F; edu: higher?; lng: Ulcha; speaker: lnl; yob: 1954] Я вот часто хожу вот в сторону туда вот {{семь}} сопок
"Мне лет {{6}} было, {{7}} ещё не было",large_sample,лет шесть,,шесть,лет,standard,gen_pl,rus,main,b_five-ten,,time,noun_num,other,,standard,Kolchom,F,secondary (specialized),Ulcha,mav,1955,SluchajShamaniliNaUxte (mav) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Мне лет {{6}} было, {{7}} ещё не было"
Что вот эти ... надо ... {{9}} слоёв ткани ...,large_sample,девять слоев,,девять,слоев,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,standard,Dudi,F,higher?,Ulcha,nao,1955,SluchajShamankaIndjaka (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Что вот эти ... надо ... {{9}} слоёв ткани ...
Мне было {{10}} лет,large_sample,десять лет,,десять,лет,standard,gen_pl,rus,main,b_five-ten,,time,num_noun,other,,standard,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Мне было {{10}} лет
"Да лет {{5-6}} мне было, до школы ещё ...",large_sample,лет пять-шесть,,пять,лет,standard,gen_pl,rus,main,b_five-ten,,time,noun_num,other,,standard,Dudi,F,higher?,Ulcha,nao,1955,SluchajDedVadjakaVozilNaChajachijOstrov (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Да лет {{5-6}} мне было, до школы ещё ..."
Два разных слова совершенно,,два разных слова,,два,разных слова,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,gld_ivg&gak_110806_so_nanai obychai i jazyk-rus_022021_GP.eaf,elan_pract_202102,
"Шкура медвежья лежат и на дне шкуры сделали две, шоб туда-сюда <НРЗБ>",,шкуры две,,два,шкуры,standard,gen_sg,rus,paucal,a_two-four,,other,noun_num,other,,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,gld_gao&iao_160726_ns_BioXomaranIStojbischa_rus_20212202_oz .eaf,elan_pract_202102,
Оттуда/ ... ммм {{два}} брата тронулись/ в путь\,large_sample,два брата,,два,брата,standard,gen_sg,rus,paucal,a_two-four,,human,num_noun,other,,standard,Aori,M,higher,Ulcha,ipr,1957,RosugbuDudinskije (ipr) [2017],online-corpus_202104,[pob: Aori; gender: M; edu: higher; lng: Ulcha; speaker: ipr; yob: 1957] Оттуда/ ... ммм {{два}} брата тронулись/ в путь\
Мы вот эти {{два}} камня/ ... так совместим/,large_sample,два камня,,два,камня,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Aori,M,higher,Ulcha,ipr,1957,RosugbuRybaki&RIKremenj (ipr) [2017],online-corpus_202104,[pob: Aori; gender: M; edu: higher; lng: Ulcha; speaker: ipr; yob: 1957] Мы вот эти {{два}} камня/ ... так совместим/
Теперь/ о том как встретились/ эээ {{два/}} разных рода,large_sample,два разных рода,,два,разных рода,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,standard,Aori,M,higher,Ulcha,ipr,1957,RosugbuDudinskije (ipr) [2017],online-corpus_202104,[pob: Aori; gender: M; edu: higher; lng: Ulcha; speaker: ipr; yob: 1957] Теперь/ о том как встретились/ эээ {{два/}} разных рода
Вон/ {{два}} этих\ рассказала вам,,два этих,,два,этих,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,EthnoVerevki3 (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] Вон/ {{два}} этих\ рассказала вам
У меня уже {{четверо}} детей\,large&small_sample,четверо детей,,четверо,детей,standard,gen_pl,rus,cumulative,a_two-four,,human,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,NazvaliDegde (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] У меня уже {{четверо}} детей\
Пять-шесть лет,large_sample,пять -шесть лет,,шесть,лет,standard,gen_pl,rus,main,b_five-ten,,time,num_noun,other,,standard,Ommi,F,higher,Nanai,nmch,1940,gld_nmch_110815_so_o sebe i muzee_rus_20210218_mr (1).eaf,elan_pract_202102,
"А у вас в роду кто-нибудь был, у кого {{много}} жен?",excluded,lingv_excluded,,много,жен,standard,gen_pl,rus,main,pron,,human,num_noun,other,,,NA,NA,NA,NA,lingv,NA,NanajPeople (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] А у вас в роду кто-нибудь был, у кого {{много}} жен?"
Лет шесть-семь...на пенсию ушла,large_sample,лет шесть-семь,,шесть,лет,standard,gen_pl,rus,main,b_five-ten,,time,noun_num,other,,standard,Ommi,F,higher,Nanai,nmch,1940,gld_nmch_110815_so_o sebe i muzee_rus_20210218_mr (1).eaf,elan_pract_202102,
Эта... заставляла... {{девять}} волн,large_sample,девять волн,,девять,волн,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,standard,Dzhonka,F,secondary (specialized),Nanai,nsz,1934,SredstvoUkachivanie (nsz) [2016],online-corpus_202104,[pob: Dzhonka; gender: F; edu: secondary (specialized); lng: Nanai; speaker: nsz; yob: 1934] Эта... заставляла... {{девять}} волн
{{Девять}} раз надо этой макушка волна= макушка волны... воды понемножку пить,large_sample,девять раз,,девять,раз,standard,gen_pl,rus,main,b_five-ten,,time,num_noun,other,,standard,Dzhonka,F,secondary (specialized),Nanai,nsz,1934,SredstvoUkachivanie (nsz) [2016],online-corpus_202104,[pob: Dzhonka; gender: F; edu: secondary (specialized); lng: Nanai; speaker: nsz; yob: 1934] \n [nsz] {{Девять}} раз надо этой макушка волна= макушка волны... воды понемножку пить
"<НРЗБ> класса, {{десять}} классов кончили молодежи",large_sample,десять классов,,десять,классов,standard,gen_pl,rus,main,b_five-ten,,numbered,num_noun,other,,standard,Dzhonka,F,secondary (specialized),Nanai,nsz,1934,Avtobiografija (nsz) [2016],online-corpus_202104,"[pob: Dzhonka; gender: F; edu: secondary (specialized); lng: Nanai; speaker: nsz; yob: 1934] <НРЗБ> класса, {{десять}} классов кончили молодежи"
Я всех ... {{четверо}} детей\ там родила,large&small_sample,четверо детей,,четверо,детей,standard,gen_pl,rus,cumulative,a_two-four,,human,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Я всех ... {{четверо}} детей\ там родила
"О-ё-ё\ как {{два\}} дня, {{три\}} дня праздновают, все\",large&small_sample,два дня,,два,дня,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,"[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] О-ё-ё\ как {{два\}} дня, {{три\}} дня праздновают, все\"
И верх {{два}} раза стреляли/ и домой\ поехали,large&small_sample,два раза,,два,раза,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] И верх {{два}} раза стреляли/ и домой\ поехали
Я пооолная сетка\ вытаскивала {{два}} раза,large&small_sample,два раза,,два,раза,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Я пооолная сетка\ вытаскивала {{два}} раза
Вспомнила\ ... разА {{два}} ли {{три}} ли помню\,large&small_sample,разА два ли три ли,,два,разА,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,DetskijeBerestjanyjeGroby (vsg) [2011],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Вспомнила\ ... разА {{два}} ли {{три}} ли помню\
А другой дома\ часа {{два-три}} было\ умер\,large&small_sample,часа два-три,,два,часа,standard,gen_sg,rus,paucal,a_two-four,,time,noun_num,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MatjRodilaPodAmbarom (vsg) [2011],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] А другой дома\ часа {{два-три}} было\ умер\
{{Три}} книги\ послал,,три книги,,три,книги,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,EthnoVerevki (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] {{Три}} книги\ послал
Нас\-то чо... увезет {{два}} == ... {{два}} часа уже наши увезут домой\,large&small_sample,два часа,,два,часа,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,SobachjeMoloko (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Нас\-то чо... увезет {{два}} == ... {{два}} часа уже наши увезут домой\
{{Три}} года\ наверно,large&small_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Три}} года\ наверно
{{Три}} года/ никому\ не сказать,large&small_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Три}} года/ никому\ не сказать
{{Три}} года\ я никому не рассказывала,large&small_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Три}} года\ я никому не рассказывала
{{Три}} года сполнится/ тогда хоть кому\ скажи,large&small_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Три}} года сполнится/ тогда хоть кому\ скажи
{{Три}} года/ никому\ ни слова!,large&small_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Три}} года/ никому\ ни слова!
И тут так и остались\ Уже {{пятьдесят}} {{три}} года\ живем,large&small_sample,три года,,три,года,standard,gen_sg,rus,paucal,a_two-four,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] И тут так и остались\ Уже {{пятьдесят}} {{три}} года\ живем
